,"a, град","n, об/мин","Fx, Н","mx, Н*м","Wв, Вт","P, Н/Вт"
35,3.0,2000.0,0.36959632011200627,0.019941296320171453,4.176495334833854,0.08849436919740011
36,3.0,3000.0,0.9212708065209012,0.041313444590445114,12.979001401983135,0.07098164011139832
37,3.0,4000.0,1.7213576992839157,0.07001489930528548,29.327772439908532,0.05869377576530611
38,3.0,5000.0,2.7739751524907432,0.10587644147311948,55.43677512003031,0.0500385375318929
39,3.0,6000.0,4.088229370233261,0.1488670570227566,93.53593054084499,0.043707582172906545
40,3.0,7000.0,5.672349576805083,0.1989770118840459,145.85776771257244,0.03888959543096138
41,3.0,8000.0,7.526069027304569,0.2561434870706116,214.58626593224147,0.03507246372272971
42,3.0,9000.0,9.64699698453126,0.3202903923670214,301.8665831026881,0.03195781687849023
43,3.0,10000.0,12.032742711284708,0.3913416375578432,409.8120045318399,0.029361616004954873
44,4.0,0.0,0.0,0.0,0.0,
45,4.0,1000.0,0.08889640936117492,0.006772605272266916,0.7092255656339082,0.1253429284965482
46,4.0,2000.0,0.4731042652240125,0.0220321035603429,4.614392979220185,0.10252795272412306
47,4.0,3000.0,1.160031493116802,0.0456842038408902,14.352115917163925,0.0808265136522136
48,4.0,4000.0,2.1570860185678313,0.07763461509057096,32.519511524374536,0.06633205474045999
49,4.0,5000.0,3.4718565656314846,0.11779635199123889,61.67802567255891,0.05629000811509671
50,4.0,6000.0,5.11265505246652,0.1661116520455131,104.37102914836957,0.0489853850650316
51,4.0,7000.0,7.086380466060166,0.22253767657309179,163.12863696942551,0.04344044428807638
52,4.0,8000.0,9.393556874609136,0.2870620593412231,240.48854846686496,0.03906030842006351
53,4.0,9000.0,12.03311461661252,0.35968005222904265,338.99046291766604,0.035496911957476285
54,4.0,10000.0,15.003984030569416,0.44038690711568623,461.17209071059017,0.032534458031601064
55,5.0,0.0,0.0,0.0,0.0,
56,5.0,1000.0,0.11893828133333331,0.007583611079166665,0.7941538951330719,0.14976729581286446
57,5.0,2000.0,0.58295631,0.024590503,5.150222904858518,0.11319050083250998
58,5.0,3000.0,1.4063647086666673,0.05098932317083335,16.018768308500587,0.08779480928757549
59,5.0,4000.0,2.6034741000000006,0.086748719,36.33721844249671,0.07164758920994387
60,5.0,5000.0,4.187051987750001,0.13184088698750002,69.0317270004487,0.06065402344233378
61,5.0,6000.0,6.1636934,0.18625222,117.02572121335798,0.052669561324578625
62,5.0,7000.0,8.537729691583337,0.24997388887916672,183.24043100814768,0.0465930452390374
63,5.0,8000.0,11.31061,0.32300198,270.59750599012193,0.04179864836009572
64,5.0,9000.0,14.483062908416667,0.40533380862083335,382.0181146244343,0.0379119794427945
65,5.0,10000.0,18.055817000000005,0.49696669,520.4223007942787,0.034694548970024656
66,6.0,0.0,0.0,0.0,0.0,
67,6.0,1000.0,0.15331688449922934,0.008500535270432704,0.8901739719057438,0.17223249537503138
68,6.0,2000.0,0.6994952201999689,0.027613346223142744,5.783325709043781,0.12095034161851209
69,6.0,3000.0,1.6611073036958304,0.057275787414674574,17.99371929705124,0.09231595070887029
70,6.0,4000.0,3.060725431580423,0.09742521340157263,40.809377959573126,0.07500054116513269
71,6.0,5000.0,4.917360719790291,0.1480393380627029,77.51321615001387,0.06343899742559464
72,6.0,6000.0,7.235779561633702,0.2092573125662173,131.48024717359425,0.055033206258581595
73,6.0,7000.0,10.01744393839326,0.28121058818067074,206.1381275193473,0.04859578409361976
74,6.0,8000.0,13.264842905877167,0.3638383792869426,304.80852785650023,0.04351860821991856
75,6.0,9000.0,16.980722288525037,0.4570318410439935,430.7423622841285,0.03942199276263458
76,6.0,10000.0,21.16782791077647,0.5606821286107844,587.1449520809092,0.03605213301375624
77,7.0,0.0,0.0,0.0,0.0,
78,7.0,1000.0,0.18548219037689606,0.00941887232979937,0.9863420038799294,0.18805058453079465
79,7.0,2000.0,0.8186087135199691,0.030998519631142748,6.492314769690469,0.126088882403186
80,7.0,3000.0,1.9267146017981638,0.06452449478130792,20.27096787815499,0.09504798258175368
81,7.0,4000.0,3.5371348875804234,0.10978235065757264,45.9855235092865,0.07691844340678475
82,7.0,5000.0,5.6729550899982915,0.1666757946658029,87.27124200888787,0.06500371668161371
83,7.0,6000.0,8.340262675233701,0.2355811523262173,148.02000349445245,0.05634551059543976
84,7.0,7000.0,11.541097760823929,0.3168651176086374,232.2742626535709,0.04968737228556864
85,7.0,8000.0,15.278309122677166,0.4103832401669426,343.80185932395796,0.04443928590938976
86,7.0,9000.0,19.55494770129437,0.5158632835760268,486.1896905817463,0.04022081932238435
87,7.0,10000.0,24.37406443717647,0.6330330114107845,662.9106193759814,0.03676825159343585
88,8.0,0.0,0.0,0.0,0.0,
89,8.0,1000.0,0.207661662771454,0.010221941430101118,1.070439203407694,0.1939966904335834
90,8.0,2000.0,0.9351622172480561,0.034621223513543076,7.251052096562476,0.1289691764442557
91,8.0,3000.0,2.2056764978894408,0.07269610669110582,22.838155472535785,0.09657857441866947
92,8.0,4000.0,4.042379339155239,0.12394485140356933,51.9178979492976,0.07786099782204162
93,8.0,5000.0,6.466617576242678,0.1880963657927749,98.48702682358667,0.0656595877122568
94,8.0,6000.0,9.492426047299336,0.2658021488048088,167.00841559871367,0.05683801030786169
95,8.0,7000.0,13.129892382070404,0.3577275669305127,262.2280024596049,0.05007051977255178
96,8.0,8000.0,17.380627373741103,0.46367086603550345,388.44399637886795,0.04474422963352727
97,8.0,9000.0,22.244122606356676,0.5832135118290916,549.6657852709735,0.04046845047011758
98,8.0,10000.0,27.719869663962367,0.7159369700205883,749.7274418166721,0.03697326270570285
99,9.0,0.0,0.0,0.0,0.0,
